Review_Text,Review_Title,Rating,Day,Month,Year
First of all there is no sound increase / decrease buttons. There is no clarity of sound quality. Wastage of money,Not worth,1,10,October,2024
"I was using Boat products for a while and with comments I thought it will be a great product. It's a terrible product, didn't work and can't be returned. Waste of money.",Terrible product,1,9,October,2024
Received used product one is working another is not working,I received used product,1,9,October,2024
"Worst earphones, doesn't even sit in ears.",Doesn't Sit,1,9,October,2024
Not functioning properly,Not a value for money,1,8,October,2024
Earphones broke within a week. Sound is only coming from on ear.,Terrible,1,7,October,2024
Box are damaged,No satisfaction,1,7,October,2024
I ordered this for bass only. It's like very cheap product. No effect,No bass just playing sound,1,3,October,2024
After 2 3 months headphones is not working properly,Performance,1,3,October,2024
Very bad fitting to ears,Not fiiting in ears,1,2,October,2024
"It doesn't deserve one star , I have bought this earphone in March 2024 and after 2 month of purchase sound from one side has stopped",Worse product I have ever seen,1,19,September,2024
Dislike mike not working you can't talk,Mike not working,1,3,September,2024
Cheap type,Ordinary,1,25,August,2024
Very badStopped working within a week,DONT BUY,1,10,August,2024
1 week after left side buds not working one side only sound output will came.. waste product,Waste money,1,5,August,2024
U can't use this product long it will be dead within a year or,Waste of money,1,2,August,2024
Ok,Ok,1,30,July,2024
Baar baar gir jate h ear se,No set in ear,1,1,July,2024
"This keeps falling down from ears. The design does not allow it to be on the ears, kind of slippery. Just small movement of head and earphone is down.DO NOT BUY THIS EARPHONE.",Worst Product,1,29,June,2024
To get blueooth zebroncis,Not working,2,5,December,2024
Sound quality is not so good. Boult is good. No Durability . Doesn't last more than 3 months if used continuously.,Avg,2,22,November,2024
Sound and bass are not proper and it is painful while holding it more hours,It doesn't fit properly to ear,2,19,November,2024
The mic is terrible and won't work till I'm almost eating it. The sound quality if average but its not too expensive so wasnt expecting too much,Mid,2,16,November,2024
Horrible fitting.,Fitting issue,2,10,November,2024
false,"Product quality is so so, doesn't work properly, and also damaged body",2,1,November,2024
The design is such that it will cause your ears to hurt after 10 min. The Xiaomi one is so comfortable that I can wear it for hours at one stretch.,Very uncomfortable to wear.,2,30,October,2024
Not working not getting inserted ordered for the replacement will update accordingly,Not working properly,2,25,October,2024
Button not work,Mic button not working,2,25,October,2024
The sound quality is great you will feel thumps and you will enjoy the bass it's durable value for money but built isnt great as it doesn't fit to your ear properly and it make your ear cry due to pain.,Sound is good but built sucks.,2,25,October,2024
Just dont stay in ear for even 1 min..keeps on falling..,Just dont stay in ear for even 1 min.,2,24,October,2024
Maine ye headphone aj second time purchase kiya hai first headphone karib ak saal chala best wired headphone hai but second time me headphone me kafi quality compromise kiya hau hai,Long lasting headphone,2,20,October,2024
"I've been using this for a while now. Quality, sound everything is superb. But it won't stay in you ears. It keeps on falling every few minutes because it's made of metal and it's heavy. Please go for other products made of plastic.",Don't buy and waste your money,2,16,October,2024
Bass of the earphone is not very good. When I have bought this earphone before then the bass is very good .,Bass,2,9,October,2024
I want exchange this product,One side not working,2,19,August,2024
It was working really well. And then it Stopped working after 6 months. Same happed for the second one also.,Quality,2,7,August,2024
"Not fit for all....Its not fit in our ear all time its loose and down from ear, too high bass leads ear damage and sound not very much clear due to the peak bass",💯% Fully disappointed & disturbing,2,15,July,2024
Worst product,Not fit and Mike,2,4,July,2024
I have bought and used almost 8 to 10 such products !They are good first 3 months then sound starts to drop.By 6 months of the ear plug completely stops working after sometime the whole thing becomes defunt !!,Durability,2,21,June,2024
The design is not friendly to use.,Difficult to handle,2,29,May,2024
Not as per standard quality.,Not good as was earlier products,2,13,May,2024
"Never buy this from boat is not good company , very poor quality",Worst product,2,27,April,2024
"Product quality is good.. Application point of view, it's easily coming out from ear coz of too much weight of the cable. So disappointed",Not upto the expectations,2,22,April,2024
The product is good. Good sound and the case is super cool.Good for taking calls and listening to music for shorter time.But it is not at all comfortable at all to wear these ear buds for longer time. Even after wearing for about 15 minutes you shall start feeling uncomfort and pain in hears. Not recommended for longer usage.Wish I could return this item. But there is only replacement no return :(,"Good Product for taking calls, listning to music. But not comforable for long usage",2,15,April,2024
Display purity is very average and I don't see anything good in noise cancellation is  it pretty much decent and condition also good. If you are travelling more just avoid it and take a pretty good noise cancellation earphone,Average product,2,13,April,2024
Decent,Okay,2,24,March,2024
It is too heavy that it keep falling from my ears,Too heavy,2,13,March,2024
Average,Earphone,2,4,March,2024
"wondrefull quality , clear bass , best at this price , but I want return this product which return process was not succussed 3 time . Because headphones are not fitting in my ears.","wondrefull quality , clear bass , best at this price",2,13,February,2024
Don't know how this is so highly recommended but it's a very very basic pair of earphones. It should cost 200 bucks max so it's overpriced for the quality. I've purchased better ones for cheaper few years ago.,Very very ordinary,2,4,February,2024
"It's a worst purchase I made in recent times. The ear buds are huge, heavy which causes pain in ears after using just 1 hour. The buit in mic is good but otherwise it's a bad choice to buy this product especially when logn duration of usage is expected.",Worst,2,29,January,2024
Ear pe tok tha he nahi hamesa girjatha hye kya faidha fir,Not good,2,27,January,2024
if you want to hear music and movie its good for gaming no bassheads should be used and its drop from ears again and again 😔,Not for gaming Bgmi,2,18,January,2024
Looks wise good but tough to use..Ear is getting hurt with these .. design..,Ear getting rubbed and damaging the skin,2,8,January,2024
"Build quality is great, the bent jack makes sure the chord doesn't start to break from that end. The sound quality is below average because of excessive bass boost, the mids and lows get muffled. Soundscape is very unbalanced. Don't buy if you listen to music frequently.",Bad sound quality. Good build.,2,3,January,2024
Dislike wasted my money,It doesn't balance the sound properly.The sound also comes outside & can't stop the noise pollution,2,21,December,2023
ear bud was not fitted properly,earbud was not fitted properly,2,20,December,2023
false,"It looks like, package opened before only",2,17,December,2023
"It's been less than a week from purchasing this Boat 225 earphone. Now one side of the earphone has stopped working. Tried availing offline warranty but we don't have any Boat service centre in Kolkata. My personal advice for anyone from Metro city Kolkata don't purchase any product of Boat. For other location, please check service centre availability at your location before purchasing any Boat products.",Service is pathetic.,2,7,December,2023
One of the ear-plugs stopped working within 6 months of usage.,One side stopped working,2,4,December,2023
One side was not working after using 3 months,One side working after 1 year,2,27,November,2023
I does not fit to my ears properly,Fitting problem,2,24,November,2023
Value for money. Maximum works for 1yr then one part will stop working and then the next one.,Ok,2,18,November,2023
These earphones are so so uncomfortable to wear.  They refuse to stay in place and fall off very often. I tried using smaller buds but they still keep on falling. I am very upset with this purchase,Very comfortable,2,16,November,2023
"I like boat in general. It's inexpensive. It's not okay on durability. Because it's inexpensive I buy it. This is my third pair. The first one lasted maybe 10-12 months then the left ear stopped working. The next pair worked fine is still good. My mother uses it. I bought this new one. It's mic button is faulty. When I connect to my phone it clicks on its own. So I realised something is wrong , I opened the button casing. Now it's fine. So i realised it's wires are not properly set. For something so cheap I just could be bothered to send it back and replace it. Too much time waste and hassel. Otherwise sound , ear buds are fine. Good bass.","Faulty button, clicks on its own",2,14,November,2023
Only one or two of these are fitting on the earphone and all others are just waste....as the pointer is too wide to get fit in the extra bases....and it keeps falling out of my ears and making it so uncomfortable and irritating to wear earphone,Size,2,13,November,2023
The forest green I had returned as it's much lighter than in site pic. Attached a pic of what I got. Just warning...,Forestgreen color looks different,2,7,November,2023
"Hey, just like you don't make a dish only with chillies, headphones also cannot be made only with thumping bass in it. Only good thing is the cable. Crappy mids and highs.",Poor sound quality.,2,5,November,2023
false,Sound Is Good,2,2,November,2023
Not comfortable in ears to heavy,Not comfortable in ears,2,27,October,2023
Wire get melted after some months and mic get complait very fast but the in ear feel and the sound quality is very good,Good but not the best,2,25,October,2023
Not recommended as its uncomfortable fit which slips more often. Sound quality below average.,Disappointed,2,23,October,2023
"I have used several earphones over the years.. Some aged like fine wine and some of them were bad from the get go ..( also yeah, I burn them before judging them) ..Today I will compare a few headphones, namely Sony XB55AP, Sennheiser CX213, JBL C200SI, Bassheads 225, Bassheads 100 and Sennheiser CX180..Also I used them on my phone( with and without equalizer) and on PC with Sound Blaster Play!3(with its own control panel offcourse)..I mainly judge them on several factors, 1. Sound Clarity 2. Bass 3. Loudness 4. Durability 5.Mic quality 6. Wearing ComfortNow comparing them,Descriptions:Sony XB55AP: though people speak highly of this headphone, but according to me, though the sound clarity is good, the bass may be overpowering at times. this headphone generates bass even in songs which has little bass to offer. though it sounds melodious at times, but sometimes, the thumping bass will feel annoying.Sennheiser CX213 and Sennheiser CX180: the sound clarity is excellent in both these earphones though, the CX213 has a little less bass and more sound clarity than its counterpart, the CX 180 which has a little less sound clarity. But more or less, both are the same.JBL C200SI: Excellent sound clarity and balanced bass.Bassheads 225: average sound clarity and the bass is overpowering mostly. the sound clarity is overwhelmed with the extra bass generated by the drivers.Bassheads 100: okish sound clarity and okish bass.Now,Factor 1: Sound Clarity: CX213=C200SI > CX180 = XB55AP >  Bassheads 225 > Bassheads 100Factor 2: Bass:  XB55AP > CX180 > Bassheads 225 > CX 213 = C200SI > Bassheads 100Factor 3: Loudness:  XB55AP > Bassheads 225 > CX180 = CX 213 = C200SI > Bassheads 100Factor 4: Durability: XB55AP = Bassheads 225 > C200SI > CX 213 > CX 180 = Bassheads 100Factor 5: Mic Quality: XB55AP > C200SI > Bassheads 225 = Bassheads 100Factor 6: Wearing Comfort : CX 213 = CX 180 > C200SI > Bassheads 100 > XB55AP > Bassheads 225",Only for people who likes more bass,2,23,October,2023
Sound quality is so bad,Im not happy,2,14,October,2023
Not satisfied with quality.,Quality,2,8,October,2023
1. Mic quality is not good. When I speaking receiver person getting low voice.2. Base is not as expected.,Not satisfied,2,8,October,2023
It is very annoying... Always falls out from the ear... It is not at all comfortable in ears..,It is not fitting in ear... It keeps falling from ear,2,29,September,2023
Pause button not working,Mic botton is not working.,2,29,September,2023
Left micro phone not working now...Heavy alsoMoney wated,Microphone issue,2,29,September,2023
Waste of money,Uncomfortable fitting,2,26,September,2023
Just average product.not good not bad,Just average product.,2,25,September,2023
false,Earphone not working properly,2,27,August,2023
One side speaker not,Not working condition,2,24,August,2023
"Bought it a week ago, regretting. Should have paid 100rs more and bought a better one from the same company","Doesn't fit in ear, keeps falling continuously",2,13,August,2023
Waste of Money.. Mic doesn't work great.. the other person always complains that the voice to too low to hear. Not worth the Price,Waste of Money.. Mic doesn't work great..,2,12,August,2023
Weight is too high,Not comfortable,2,4,August,2023
So it was working good but now within 3months it's not working.,It is not working properly,2,28,July,2023
Not worthy buying it's heavy don't fit to ear.. really it's heavy everytime I use it falls.. irritating me...,Not worthy buying it's heavy don't fit to ear,2,27,July,2023
Veri harsh sound...👎,Sound quality,2,23,July,2023
Nice,Nice,2,26,June,2023
One side not workingI don't like this productHe gives to used productPlease take your productRefund my amount,Bed service,2,10,June,2023
अभी तक कभी ऐसा नहीं हुआ जब product अच्छा न मिला लेकिन इस बार product के साथ fraud हुआ है,This time amazon disappointed me.,2,6,June,2023
"This earphone stopped working after a week of purchase, I claimed warranty but the replaced product also malfunctioned within two days. The design also makes it hard for the device to stick to your ear and you find yourself fixing it again and again. Worst boat product experience.",Faulty Product,2,1,June,2023
Too big as per ear size...,Not worth,2,30,May,2023
Ad the product name sounds great for music but in real it isn't that comfortable with music. The music bass quality is just flat with this model.,Quality audio,2,26,May,2023
Bad product it's sound gets disrupted after one year of use and mic was not working properly,Cons of buying this product,2,9,May,2023
"It is very lose from ear , not comfortable to wear at all.Ear phone is not fixing to ear at all",Loosing earphone from ears.,2,9,May,2023
My money return,Sound problem,2,5,May,2023
"Sound quality is fine. However, it doesn't fit well in your ears. Keeps dropping very easily.",Boat earphones,2,4,May,2023
Quality is good but not fitting in ears perfectly waste of money,Design is not good,2,2,May,2023
"Bad Design, keeps falling off the ears",NaNa,2,10,April,2023
Sound quality not good.,Weaste of money.,2,28,March,2023
Low sound.,Low sound.,2,18,March,2023
No,Not good,2,24,February,2023
Not good,Not good,2,9,February,2023
Not as good as I expected 🙂,Worth it,2,4,February,2023
Poor quality,Poor quality,2,31,January,2023
Always k but some time not  working mic,Mic not working and return not possible to collect the order,2,25,January,2023
You can claim warranty and replace it with in 6 months from date of purchase.,Left one stops working.,2,21,January,2023
Average sound Quality. As compared with sound Quality price is much more higher.,Average sound quality.,2,14,January,2023
Got this on 2/1/2023 now after using for 8 days....I'm getting some noise issues....,Issues,2,11,January,2023
Not bad,Not bad,2,30,December,2022
Ok,Ok,3,18,November,2024
Good,Good,3,3,November,2024
Not so good but ok for this price,Worth the price.,3,3,November,2024
Good but doesn't work on laptop,Good but doesn't work with laptop.,3,30,October,2024
Nice,Nice,3,27,October,2024
Good durability,Good,3,26,October,2024
The main issue is the comfortibility on the ear.Everything is fine,Average product,3,23,October,2024
Good sound quality,Good sound quality,3,21,October,2024
I purchased that 3rd time by online because I like sound quality of this product with clear.😀😀😀,Nice product,3,6,October,2024
Value for money,Good buds,3,5,October,2024
Quality not good,Ok not best,3,3,October,2024
"Horrible fitting in my case.Superb built quality, okay sound.Overall good for the price point if you don't have fitting issues.",Decent product,3,2,October,2024
I just looked into some reviews (photos).....find lots of customer purchased fake product.....that's stop me to purchase.You can also see ....look into the headphones jack...and see the difference,More fake product,3,27,September,2024
Wouldn't say it is good. It pains your ears if you wear it for too long and the sound quality is also bad. The sound is too sharp.,Wearing for too long can pain your ears and the sound is too sharp,3,5,September,2024
The product is ok. OK we can accept this product. They should add different colors for this product. Because the colors you like are not available at the time of purchase.,Ok,3,5,September,2024
So so product,Day by day quality of this product has gone down,3,1,September,2024
satisfactory,Satisfactory,3,29,July,2024
👍,👍,3,29,July,2024
"Sound quality is decent but the fit is really bad, it's heavy and you can't use it for longer periods, well overall, if you get it for like ₹350-450, it's a good deal",Good sound quality but uncomfortable,3,12,July,2024
Good qualityNice product,Earphones,3,30,June,2024
Sound quality is okay.,Sound quality is okay.,3,22,June,2024
"Over Basis boosted, you'll get used to itMic doesn't satisfies, disappointed by it's quality.But mic placement is great","Good sound, mic is not up to mark",3,27,May,2024
not using anymore,headphones,3,17,May,2024
"Average product , not bad, okay okay types product",Average product.not bad.okay okay.,3,12,May,2024
sound was proper but didn't last long,boat earphone,3,30,April,2024
It is good product according to there price,Good product,3,23,April,2024
"Wire length should minimise,not comfortable fit for ear",Review,3,1,April,2024
"Fitment of both sides ear phones mic not fitting properly, continue loosing",Fiting in ears not properly,3,16,March,2024
Budget earphones wiredGood base,Wired earphone,3,9,February,2024
Product quality is fine but sometimes it gives a bad sound effects to the other person in the video call like rrrrrrrr which is it's withdraw.,Quality,3,6,February,2024
When hearing songs🎵🎵🎵,Not bad👍,3,6,February,2024
"Pro'sSound and performance is greatCons :- I shifted from bassheads 162 to 225 this earphone sucks at comfort, no proper fit also pains and feels very heavy while wearing coz of more metal , a slight movement and the earphone falls off from the ear too irritating..I won't recommended this earphone as there is only replacement available and there is no option to return itI would have not purchased this earphone just had to because 162 it out of stock since months",Pro's and cons,3,3,February,2024
Good,Good,3,28,January,2024
Nice sound quality but too heavy,heavyweight,3,23,January,2024
Everything is find but there is no option to move for next audio play. Also earphones are not sitting well in ears when turns side and in the bus moving while jumping it is easily coming out from the ears.,Headphone is not sitting in ears properly,3,8,January,2024
Sound quality acchi hai,Ear phone,3,7,January,2024
"Good bass,good for songs,while playing games after 55% volume other teammates can hear your in-game sound",Good earphone,3,5,January,2024
Price is high,Ok,3,3,January,2024
Received defective product from seller at cheaper price than usual during great indian festival.. company wise it is ok.,Defective product,3,30,December,2023
Original voice ko bhi bekar krdia,Boht zyada over sound h,3,18,December,2023
Sound and all are good.. the only problem is its buds were heavy because it's made of metal and that's why buds doesn't stay at ear . Have to put in the ear again n again.,Good... could be better,3,4,December,2023
Just ok,Just ok,3,27,November,2023
Not good,Not good,3,24,November,2023
"Portability - 3.5mm jack fits with every phoneDamage - Not received damaged productWarranty - 1year is ok but anyways after 1 year its gonna detroit very fast which leads you to buy new earphoneMic - GoodProblems - Earphone is bit heavier falls every time, heats up after some long usage.",Good Product with some design defects,3,22,November,2023
Not satisfied,Loose connect,3,15,November,2023
7,Ok,3,13,November,2023
good,good,3,7,November,2023
"Just don't like the sound quality. the bass is not good , no sound separation just garbage and bad bass. The wire quality is also average and very thin.",Not recommended,3,2,November,2023
No sound cancellation...not worth,No noise cancellation,3,2,November,2023
Does it's job.,It's alright,3,2,November,2023
Not up to the mark as published in the Product details,Not up to the mark,3,31,October,2023
"Good,but it not stand in my ears.",Good,3,28,October,2023
nice,Fully Satisfied with this product..,3,28,October,2023
Headphones are heavy may be cz of metallic built. Sound is good. But it doesn't fir properly and pain in the ear occur.,Heavy. Does not fit in the ear.,3,27,October,2023
Ok ok,Good,3,19,October,2023
Over all product is very good sound is also outstanding at this price range but the only thing i hate about is it's bulky fat buds that's eventually fit to your ears and drops from ears oftenly.,Bulky buds earphone,3,15,October,2023
Need more user feuture,Not fit into ears,3,12,October,2023
Good for music.,Good,3,10,October,2023
Good sound quality 💯,Good,3,9,October,2023
"Demaged item.....first of all I found a damage item seems like used and one side of Mick was not working, there was no sound in mic. And when they make a request of refund. 8 days has already passed they didn't refund till now and showing refund is delayed  in tracking details of product worst ever experience from Amazon.😠",Received a internally demaged item...one mic has no sound and seems like a bit dirt on it,3,3,October,2023
"But these are not that much comfortable and the ear tips that come with them are also not soft, so I am using the  ear tips from my old earphones. If you want them for gaming then definitely go for it, you'll not gonna find any better than this in 450 .Overall a good pic 💯. Go for it.","Today I received these earphones, at first glance I found them quite good, sound quality is also ok.",3,30,September,2023
"Sound quality, mic quality everything is good but after 8months or 1year my left speaker is not working typical earphone moment.",Good product,3,29,September,2023
It's impressive,Good quality,3,26,September,2023
*Built quality- 3/5 it won't last more than 1.5 year.*Sound and Bass quality- over all good*Comfort - good piece of ear buds.*Durability- 3/5 its one side mostly left side ear bud will not work after 1-1.5years sometime it won't work totally.*Prise wise- over price it should be near about RS. 300*Value for money- not at all good investment.,Built and over all sound quality,3,23,September,2023
Good product..,Average product,3,22,September,2023
Pain getting on ear while using it,Ear pain getting,3,22,September,2023
"There is 6 earpiece totally and all are very tight while changing the earpiece the black filter thing on earphones tip went inside a little bit and still the earpiece not changed its not going inside,, I tried so many time but it's really tight and then I had to go to shop to do it I didn't like that much but sound quality is pretty good 👍 but my earphone damaged on day 1 because of this.",Bad experience while changing the earpiece,3,21,September,2023
"Keeps popping out of ears, can't enjoy music even while sleeping",Uncomfortable,3,20,September,2023
पसंद है बहुत अच्छा लगा साउंड सिस्टम बहुत अच्छा लगा,बहुत अच्छा है साउंड सिस्टम,3,17,September,2023
Good,Good,3,17,September,2023
I like it,Nice product,3,15,September,2023
Can i get mint purple in this kinda headset. Thick wire is gud!! It ll not get damaged soon.. thankyu,Color suggestion,3,15,September,2023
"Not fit in ear , every time goes out of ear",Not fit in ear,3,10,September,2023
Bass irritatingHurts my ear,Not good,3,19,August,2023
"Great sound, have deep bass, if you increase volume there will be ear pain, i am using Redmi note 9 pro,but built quality is really amazing, tangles free, comfort fit, uses even during bike ride, still fits ear comfortable, metallic so no need to worry even if you drop accidently,👍👍👍",Headphones,3,31,July,2023
"Because of metal, it weigh lot and often fall. Price is okay for this features but not user comfortable design.",Not Comfortable,3,30,July,2023
"The earphone doesn't hold good in my ear, a little movement of my head, the earphone will automatically fall down, this irritates me a lot, however the quality of product is good, you can go for it.",Doesn't hold good in ear,3,26,July,2023
Good,Good,3,25,July,2023
Good bass.. but use with carefully. Otherwise wire may not be work for long time,Nice bass,3,23,July,2023
Not comfortable to wearAlways falls down when it is in earIn this price there are better wired earphones,It is ok,3,22,July,2023
"I had this in 2019 and after an year, the wires(plastic) broke. Even I used t keep it safe all the time in the case. While company made it intangible, they forgot about the strength of the wire.",Wires are not that great,3,18,July,2023
Mic quality is little poor..,Sound quality is good,3,17,July,2023
V good,Aacha he,4,9,October,2024
I bought 3rd one ... good quality one...worth money,I bought 3rd one ... good quality one...worth money,4,20,September,2024
Great quality,Good,4,1,September,2024
"It's a good value for money product. The mic quality and sound quality, both are good for the price range. Also the whole texture is good and is very durable. Overall a very good value for money product",Value for money,4,31,August,2024
Durable product and working excellently with good quality,Too good,4,20,August,2024
Good,Good,4,15,August,2024
Nice headphones with noise cancellation.Great bass.,Great headphones,4,12,August,2024
very good product,Good,4,28,July,2024
Ok,Ok,4,26,July,2024
"100% Worth it. High Mid Low all frequency, Everything you can hear it clearly with Heavy Bass and Clear High freq. I was using this from 3 years, my right side's earphone isn't working . That's why I'm going to buy this same pair again. It's microphone is also so good.",Everything is perfect.,4,11,July,2024
good,good,4,10,July,2024
"Decent sounds, not the most comfortable to wear",Decent,4,8,July,2024
Using for a long time. I like its sound. Bass I like so much.,Awesome product,4,2,July,2024
Good product,Good product,4,27,June,2024
"Even I used it carefully, mic is not working properly after 2 years of use..",Mic issue,4,26,June,2024
Best for gamers 😀,Sound quality,4,24,June,2024
"Value for money, gaming, durability",Good,4,24,June,2024
best for daily use and made from good quality,are value for money,4,16,June,2024
Bass is extra than required which reduces the voice clarity while speaking. Sound is good while listening to music. Cable is flat which is good for durability. There are better options available lower than this price where voice quality while speaking is better.,Good but not great,4,7,June,2024
Good,Good,4,5,June,2024
Good bass,Nice,4,1,June,2024
"Bass is good, superb ear phone",Superb earphone,4,28,May,2024
"Sound is good , wire quality is also very nice. I like it . Worth buying.",Worked properly for an year only,4,24,May,2024
Yaa it's have good quality of sound,Good,4,23,May,2024
"Best budget earphone, comfortable,",Best,4,22,May,2024
Amazing product,Sound is good,4,22,May,2024
Bass and sound is clear,Boat is good for high bass,4,18,May,2024
Good,Good,4,18,May,2024
very good product.,ear phone boat,4,14,May,2024
Super,Super,4,9,May,2024
Good,Good,4,5,May,2024
Nice color and sound effect deep bass.,Good and worth.,4,4,May,2024
Good earphones,Lit,4,3,May,2024
"Just one problem, they are too heavy and large to use while sleeping.",Durable and Sturdy quality,4,2,May,2024
GOOD,EXCELLENT,4,28,April,2024
Sound quality is very nice. Noice cancellation is also working to the point.,Awesome product,4,26,April,2024
It is very handy and i liked the product,Good,4,24,April,2024
"Good but Stereo is not so good while playing games. But for music and others, no problem.",Not bad,4,21,April,2024
"I use boat bassheads 100, so I bought this one but this is too bassy and heavy fall out of ears frequently. Good for bass lovers",Too bassy,4,21,April,2024
"Product quality is good, best at that price range, sound quality is also fine. But problem is with the mic , will stop work after some time around 3 - 6 months.",Not bad,4,19,April,2024
Nice,Good,4,12,April,2024
Low latency and good bass,Nice sound quality,4,11,April,2024
I am using this product from Jan 2020 best audio quality and bass,Long lasting,4,9,April,2024
Ok only,Ok only,4,2,April,2024
Sound quality is good!,Solid choice,4,27,March,2024
Ok,Ok,4,19,March,2024
It is only high bass no noise cancellation. avg quality,Only Bass,4,17,March,2024
Good built .but it does not fit in the ear properly ..and the round carrier is too small to keep earphones inside.so no use of such carrier,Fit to ear - not proper,4,11,March,2024
Great product,Great product,4,9,March,2024
"For 500₹ this was good, and boat also offers replacement, but the replaced earphone I got was another colour.",Worth,4,8,March,2024
Good sound quality,Good,4,6,March,2024
I bought it in October 2020 and still I am using it in 2024 and it is now just like my school friends 😅 who are not forgetting me and constantly being in touch and working at any time. Lastly the only thing I am talking that this product is worth for this review and the price also.,My first and best branded earphones.,4,5,March,2024
Don't order black colour they delivering old headsets so order different colours,Superb boat,4,21,February,2024
Sound quality is good but feels heavy in ear,Value for money,4,20,February,2024
Worth it,Value for money,4,20,February,2024
"This earphones provide best sound, I have ever listened in this price range. But mine earphone's left side stopped working after 8 months of use. So Till 8 months it was perfect and had no issue. It should have lasted atleast 1-1.5 year. Other than this everything is good in this earphones.",Sound Quality and Product Life,4,9,February,2024
Works as expected. Nothing great in audio. Good for rough and tough,Good for money,4,8,February,2024
Good Product,Value,4,4,February,2024
The design of the device is osm and sound quality is fabulous...,Sound quality,5,3,December,2024
It's an wow product form Boat.. Sound quality is very good.,Price worthy,5,30,November,2024
Nice product,Nice bass,5,28,November,2024
Bass quality is good 👍 perfect,Good headphone,5,22,November,2024
"Good, at this price",Good,5,20,November,2024
"I am satisfied to use the product, thank you Amazon.",Deliver good product,5,19,November,2024
"Very good quality,  lesser price then local market.",👍,5,18,November,2024
Good,Ok,5,18,November,2024
Good product,Quality,5,18,November,2024
its amazing,very good,5,18,November,2024
Does the job,Good one,5,17,November,2024
Excellent product,Good quality,5,17,November,2024
"This is one of the best earphones under 2k range , wired is better in my opinion than neckband, buds etc... for multiple reasons.","superb sound quality, sharing review after a year or so",5,16,November,2024
Value for money,Thanks Amazon,5,12,November,2024
Good product,Good product,5,11,November,2024
This is the 3rd time I am using this earphone. Best quality product in very reasonable price.,Best quality at reasonable price,5,6,November,2024
Working fine...using rough nd tough,Worthy,5,6,November,2024
I’ve purchased this twice in the past 5 years. They been with me through college and now work. Good Purchase for a good price,Good Sound Quality and Durable,5,6,November,2024
false,Value for money,5,5,November,2024
"This is called a good sound quality, It's really so good.💯Before I buy this, I have use Sony and JBL earphones too but this is the best.Please go for it, Boat will never disappoint you.🌪️",Excellent,5,5,November,2024
Good product and reasonable price from boat. Thanks Amazon.,Simply super,5,4,November,2024
best sound and build quality. It is good for gaming also.,best,5,4,November,2024
Very awesome productAwesome durabilityJust awesome!,Quality,5,3,November,2024
Good,Good,5,3,November,2024
This is my second time purchasing this headset. It is the best product for this budget. I bought it for 399 rupees.,The best headset ever.,5,30,October,2024
Value for money,Good,5,29,October,2024
"So Worth it guyz. I prefer all of you, product quality is litt Also wire thickness is perfect, sound is ammazzing. Also in this cheap rate it's perfect.",Quality is litt,5,29,October,2024
"Amazing sound quality and very loud, it has bass you can feel it",Amazing,5,28,October,2024
Good sounds,Clear sounds,5,28,October,2024
Good,Good,5,27,October,2024
It is a great machine for anyone who is interested in fitness.,Great product,5,25,October,2024
Good product,Good product,5,25,October,2024
"This is my second time purchasing the boAt Bassheads 225, and I can confidently say it's worth every penny! My first pair lasted for a solid 3 years, which is quite impressive for a budget earphone. The current price makes it an even better deal.The sound clarity is excellent, with powerful bass that makes listening to music enjoyable. The microphone quality is also great—crisp and clear during calls. If you're looking for a durable, good-quality wired earphone with great sound and bass, I would definitely recommend going for this one!",It's 2nd time I'm buying - boAt Bassheads 225,5,24,October,2024
Loved ❤️ it,Don't think buy,5,23,October,2024
Clear voice,Nice,5,23,October,2024
I don't even remember how long ago I bought this it's been like 2 years or more than that.. It's still working as new and the built quality is just best.. I got nirvana series so it looks primume too. One of my favorite purchase,Still best,5,23,October,2024
Superb,Super sound quality,5,23,October,2024
I just love this earphones good base. Wire length is enough & good experience while playing games. Smooth voice connectivity and durability.,Best earphones from Boat,5,22,October,2024
Superb performance.. Sounds effective is very good..,Nice quality,5,21,October,2024
false,Excellent quality,5,21,October,2024
It is durable with flat wire and in this price it is better than any other,Boat earphone,5,21,October,2024
Best headphone,Best Headphone,5,20,October,2024
Boat earphone Sound Quality Is good,Sound Is Good,5,19,October,2024
Exlent working 💪,Superb quality,5,19,October,2024
The aound quality is great at this price point,Sound quality,5,19,October,2024
sound quality is good I'm satisfied with this product,fantastic,5,19,October,2024
"Amazing,Worthy product for this low rate.","Quality, Cost & Attractive",5,19,October,2024
Very nice,Very nice,5,18,October,2024
Qty is goodSound is also nice,Good one,5,18,October,2024
It's sound quality is fantastic. Good earphone for bass lover. But it has one problem it doesn't stay at ear properly. Most of the time it gets out of the ear.,Fantastic Earphone with metal build quality,5,17,October,2024
3 saal se ye hi earphone use kr rhi hu ..... easily 1.5 year tk toh chlta h ek earphone...... I'm totally Obsessed with this,Worth buying,5,17,October,2024
"🔊 High quality sound and impressive deep bass🎧. 🤩Worth Varma, Worth🤩",Boat earphone 225,5,17,October,2024
Used for almost 2yrs no problem detectedThanks Amazon for quick delivery 😍,Boat,5,16,October,2024
Best,Best,5,16,October,2024
"Value for money, every feature is up to the mark and packaging is also goowoa",Best budget earphones🎧,5,16,October,2024
"Good wire conditions, connectivity, gaming ability",Good quality,5,16,October,2024
"Durable , working nicely, wire thickness is good, all over good material . You can purchase, you can trust it.",Good quality,5,15,October,2024
